Gene	MYC_Protein
DMS53_LUNG	0.114065035
SW1116_LARGE_INTESTINE	0.067394088
NCIH1694_LUNG	-1.137268123
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.036025704
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.320053596
UMUC3_URINARY_TRACT	0.189287779
HOS_BONE	0.809002851
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.274202823
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.184598496
RVH421_SKIN	-0.27510551
NCIH1184_LUNG	-0.127913095
HCC2157_BREAST	
TC71_BONE	0.061152533
NCIH2227_LUNG	-0.686955972
COLO205_LARGE_INTESTINE	
SNU449_LIVER	0.611055337
NCIH28_PLEURA	0.708664899
OV56_OVARY	-0.28402659
JHOS4_OVARY	-0.789957853
KYSE450_OESOPHAGUS	0.931062032
RMUGS_OVARY	-0.978580228
KLE_ENDOMETRIUM	0.370128595
HS895T_SKIN	-0.923141202
LN229_CENTRAL_NERVOUS_SYSTEM	-0.22393054
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.346022805
RKN_SOFT_TISSUE	-0.561745989
PATU8988S_PANCREAS	0.309510487
NH6_AUTONOMIC_GANGLIA	-0.602021134
SF126_CENTRAL_NERVOUS_SYSTEM	-0.47992972
RERFLCAD2_LUNG	-0.112106417
OUMS23_LARGE_INTESTINE	-0.651414557
SNGM_ENDOMETRIUM	-0.186647436
OUMS27_BONE	-0.115316951
PL45_PANCREAS	
NCIH2347_LUNG	-0.267260761
SW1990_PANCREAS	-0.165249235
HS940T_SKIN	-0.601583966
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.218354085
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.907040571
RERFGC1B_STOMACH	-0.466281501
HT1080_SOFT_TISSUE	0.040758598
NCIH2087_LUNG	0.907518584
COV318_OVARY	-0.114060966
NCIH2085_LUNG	-0.438074144
NCIH510_LUNG	
CAKI1_KIDNEY	0.025418861
NCIH716_LARGE_INTESTINE	0.939346108
NCIH2066_LUNG	0.141166482
NCIH1341_LUNG	0.240771471
NCIH2029_LUNG	-1.292467944
C3A_LIVER	
SW480_LARGE_INTESTINE	-0.308724704
HS746T_STOMACH	-0.140819073
LU65_LUNG	1.03845451
HS739T_BREAST	
SNUC2A_LARGE_INTESTINE	-0.718329538
HEC151_ENDOMETRIUM	0.653071222
MSTO211H_PLEURA	0.822947245
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.575346112
SKMEL1_SKIN	-0.643499764
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.023880133
JHH7_LIVER	-0.105361132
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
5637_URINARY_TRACT	0.902377818
HCC38_BREAST	-0.748523443
DU4475_BREAST	-0.262928598
NCIH1573_LUNG	-0.784911813
NCIH508_LARGE_INTESTINE	-0.183212392
NCIH1651_LUNG	-0.717586757
SKUT1_SOFT_TISSUE	0.711325985
MDAMB175VII_BREAST	-0.404618302
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.016434791
BECKER_CENTRAL_NERVOUS_SYSTEM	0.506562163
NCIH226_LUNG	-0.778209967
NCIH1666_LUNG	0.989521827
SW1783_CENTRAL_NERVOUS_SYSTEM	-0.435951842
ISTMES1_PLEURA	-0.997648452
NCIH1734_LUNG	0.454406934
NCIH2342_LUNG	-0.101334372
EBC1_LUNG	0.223339573
YMB1_BREAST	
OC316_OVARY	
HS936T_SKIN	-0.163685237
T173_BONE	-0.671357432
NCIH322_LUNG	-0.778182734
HS618T_LUNG	0.378634757
HS870T_BONE	-1.005201181
HS706T_BONE	
PANC1_PANCREAS	-0.124874193
NCIH2291_LUNG	0.548432686
T47D_BREAST	-1.000381703
HS742T_BREAST	
BICR56_UPPER_AERODIGESTIVE_TRACT	
BICR16_UPPER_AERODIGESTIVE_TRACT	0.282995744
TE10_OESOPHAGUS	-0.494683491
SKMEL28_SKIN	-0.476685739
BICR6_UPPER_AERODIGESTIVE_TRACT	-0.071091876
BHY_UPPER_AERODIGESTIVE_TRACT	-0.073683803
AZ521_STOMACH	
SH4_SKIN	0.109078814
KPL1_BREAST	-0.447880491
CGTHW1_THYROID	0.159368548
TUHR4TKB_KIDNEY	-0.45064148
LS123_LARGE_INTESTINE	0.051670227
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.105174439
HPAC_PANCREAS	0.5112034
RCC10RGB_KIDNEY	-0.438963729
JHOM1_OVARY	-0.078260845
SU8686_PANCREAS	-0.473107157
HCC33_LUNG	0.052385797
TE6_OESOPHAGUS	0.062677526
JHOC5_OVARY	0.10999506
ACCMESO1_PLEURA	-0.285327415
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.336608025
SNU1214_UPPER_AERODIGESTIVE_TRACT	-0.328081205
CORL105_LUNG	-0.328299903
LMSU_STOMACH	0.381425011
SNU1197_LARGE_INTESTINE	0.725320925
COLO668_LUNG	-0.813312077
OSRC2_KIDNEY	-0.476113948
HUH6_LIVER	
PANC0203_PANCREAS	0.474409257
CJM_SKIN	0.134808897
BICR22_UPPER_AERODIGESTIVE_TRACT	-0.06312635
SHSY5Y_AUTONOMIC_GANGLIA	
TM31_CENTRAL_NERVOUS_SYSTEM	-0.289670831
SNU1272_KIDNEY	-0.351277651
KPNRTBM1_AUTONOMIC_GANGLIA	-1.156946379
BICR18_UPPER_AERODIGESTIVE_TRACT	-0.090192352
TE4_OESOPHAGUS	0.402306634
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.163608175
ECC10_STOMACH	0.942911743
TUHR14TKB_KIDNEY	-0.140701249
YD15_SALIVARY_GLAND	0.374584616
UBLC1_URINARY_TRACT	-0.41256397
ECGI10_OESOPHAGUS	0.456845902
CW2_LARGE_INTESTINE	0.597349404
SNU761_LIVER	-0.297688308
SNU61_LARGE_INTESTINE	0.218787146
NCIH1915_LUNG	-0.387299499
SNU324_PANCREAS	0.264159991
YD10B_UPPER_AERODIGESTIVE_TRACT	0.276625194
HCC2279_LUNG	-0.435354167
HLC1_LUNG	
TUHR10TKB_KIDNEY	-0.393395315
HEC1B_ENDOMETRIUM	0.430395497
VMRCLCP_LUNG	
TGBC11TKB_STOMACH	0.347876643
OVK18_OVARY	-0.050916125
SNU1077_ENDOMETRIUM	-0.331120414
HCC1588_LUNG	-0.006539548
SNU213_PANCREAS	-0.176229265
HT115_LARGE_INTESTINE	0.668374735
TE14_OESOPHAGUS	0.717177793
TE8_OESOPHAGUS	-0.315969889
SNU520_STOMACH	0.412010669
JHUEM3_ENDOMETRIUM	-0.252939067
LI7_LIVER	-0.579735896
NCIH838_LUNG	-0.316659106
SNU119_OVARY	-0.535219258
SNU1033_LARGE_INTESTINE	0.466441641
SNUC5_LARGE_INTESTINE	0.831869712
GSS_STOMACH	0.993752448
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.150572172
HCC1171_LUNG	-0.386418389
SNUC4_LARGE_INTESTINE	0.880203753
U138MG_CENTRAL_NERVOUS_SYSTEM	
SNU620_STOMACH	0.026764836
ECC12_STOMACH	-0.000147254
GSU_STOMACH	0.316572268
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
JHOM2B_OVARY	0.096418131
MDAMB231_BREAST	0.03161411
OV90_OVARY	-0.481496153
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.973434295
OVTOKO_OVARY	0.248229864
OVCAR4_OVARY	-0.392067548
HLF_LIVER	-0.083366454
HCT15_LARGE_INTESTINE	-0.425780779
SW1463_LARGE_INTESTINE	0.274552471
SF295_CENTRAL_NERVOUS_SYSTEM	-0.44574614
WM115_SKIN	0.37968594
JHH4_LIVER	0.534741008
OE33_OESOPHAGUS	0.787055261
CCK81_LARGE_INTESTINE	0.362644742
JHH1_LIVER	-0.432646668
SJSA1_BONE	-0.09524756
NCIH2228_LUNG	-0.391003528
RERFLCAI_LUNG	0.266000853
SKMES1_LUNG	0.034560808
NCIH520_LUNG	0.054624887
JHH5_LIVER	0.110040413
FU97_STOMACH	0.258135808
COLO800_SKIN	-0.29949955
NCIH1963_LUNG	
RL952_ENDOMETRIUM	-1.299878386
J82_URINARY_TRACT	-0.489537479
HCC15_LUNG	-0.229114594
M059K_CENTRAL_NERVOUS_SYSTEM	-0.320253183
CALU6_LUNG	0.537399428
SKLU1_LUNG	0.035460091
SW900_LUNG	-0.407573369
UACC62_SKIN	-0.420981343
MFE280_ENDOMETRIUM	-0.584776014
MFE319_ENDOMETRIUM	-0.050907624
MFE296_ENDOMETRIUM	-0.793186657
GOS3_CENTRAL_NERVOUS_SYSTEM	0.825304247
GI1_CENTRAL_NERVOUS_SYSTEM	-0.746678583
PC14_LUNG	0.236528522
KYSE410_OESOPHAGUS	0.400616376
A204_SOFT_TISSUE	-0.30642668
PATU8902_PANCREAS	0.059755287
NCIH810_LUNG	0.922590371
RERFLCMS_LUNG	-0.066344205
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.079464646
DANG_PANCREAS	0.528859916
NCIH460_LUNG	-0.041315115
KYSE140_OESOPHAGUS	0.118807929
KYSE180_OESOPHAGUS	0.502549254
HUPT3_PANCREAS	-0.312121436
EFE184_ENDOMETRIUM	0.41995656
GCIY_STOMACH	1.135549395
SH10TC_STOMACH	-0.463675591
CAOV4_OVARY	
HCC2218_BREAST	-0.231034218
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.953329099
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.187263567
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.683155809
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.144635638
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.630138026
KNS60_CENTRAL_NERVOUS_SYSTEM	-0.296412127
KNS81_CENTRAL_NERVOUS_SYSTEM	0.187916663
KPNSI9S_AUTONOMIC_GANGLIA	-0.011352276
LU99_LUNG	0.449189769
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.659216196
MKN1_STOMACH	0.243181432
MKN74_STOMACH	-1.110995301
KP3_PANCREAS	-0.42678066
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.349873755
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.307339086
HSC2_UPPER_AERODIGESTIVE_TRACT	-0.027133309
KG1C_CENTRAL_NERVOUS_SYSTEM	-0.127962437
HUH7_LIVER	-0.06831758
KMBC2_URINARY_TRACT	
KMRC20_KIDNEY	-0.153381079
HUCCT1_BILIARY_TRACT	0.19462102
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.322118065
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.750780353
KALS1_CENTRAL_NERVOUS_SYSTEM	-0.064755755
HEC108_ENDOMETRIUM	0.3975113
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.078805244
HUH28_BILIARY_TRACT	-0.382448539
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
HEC265_ENDOMETRIUM	0.712621676
CAL12T_LUNG	-0.00607898
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.470559779
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.108877704
SKNSH_AUTONOMIC_GANGLIA	0.166619629
HCC1954_BREAST	-0.442519607
CAMA1_BREAST	-0.33545973
HEC6_ENDOMETRIUM	0.267509051
AM38_CENTRAL_NERVOUS_SYSTEM	0.499940984
HEC50B_ENDOMETRIUM	0.487480617
HSC3_UPPER_AERODIGESTIVE_TRACT	0.151654046
HSC4_UPPER_AERODIGESTIVE_TRACT	-0.892966215
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.43747515
KP4_PANCREAS	-0.488791962
KE39_STOMACH	-1.169671518
COV504_OVARY	
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.054614565
VMRCRCW_KIDNEY	-0.231924924
HGC27_STOMACH	1.076213493
LUDLU1_LUNG	1.071924521
HUG1N_STOMACH	0.43728073
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-1.125370085
NUGC4_STOMACH	-0.646606383
BGC823_STOMACH	
HMC18_BREAST	0.735818284
CAS1_CENTRAL_NERVOUS_SYSTEM	0.29594481
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.689111822
CORL23_LUNG	1.084608559
MORCPR_LUNG	-0.636426692
HARA_LUNG	0.35709204
SKOV3_OVARY	-0.305809212
HPAFII_PANCREAS	0.495945617
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.86426989
NCIH1568_LUNG	0.087256306
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.224688674
A498_KIDNEY	-0.209547526
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.506131404
A673_BONE	0.353582675
AU565_BREAST	-0.390473179
COLO201_LARGE_INTESTINE	-0.112311488
CAPAN1_PANCREAS	-0.3575349
NCIH1563_LUNG	-0.753952326
NCIH358_LUNG	-0.09534769
CFPAC1_PANCREAS	0.03005452
NIHOVCAR3_OVARY	0.140969462
NCIH1650_LUNG	-0.509725619
NCIH1793_LUNG	-0.311687717
NCIH1437_LUNG	-0.240888901
KNS62_LUNG	0.972577552
HS578T_BREAST	-0.350248845
BT20_BREAST	0.742072069
SNU182_LIVER	
SKNMC_BONE	0.447498598
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.522205768
FADU_UPPER_AERODIGESTIVE_TRACT	-0.493220453
SJRH30_SOFT_TISSUE	
MDAMB361_BREAST	-0.463989861
MDAMB436_BREAST	-0.039201696
PANC0213_PANCREAS	
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.002237891
RDES_BONE	0.018686626
CAL27_UPPER_AERODIGESTIVE_TRACT	-0.445465173
MESSA_SOFT_TISSUE	-0.308818268
SW1271_LUNG	0.1960663
NCIH1792_LUNG	1.188865329
GCT_SOFT_TISSUE	0.09569944
SKBR3_BREAST	-0.574326653
SNU16_STOMACH	1.086649609
NCIH82_LUNG	1.798577156
NCIN87_STOMACH	-0.115790752
U2OS_BONE	0.081270109
H4_CENTRAL_NERVOUS_SYSTEM	-0.733490429
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.366668866
HCC1143_BREAST	0.185615157
T24_URINARY_TRACT	-0.612560419
G401_SOFT_TISSUE	-0.566945607
HCC1937_BREAST	-0.463602264
HCC1569_BREAST	-0.416439851
OCUM1_STOMACH	0.301456985
SAOS2_BONE	-0.09996225
D283MED_CENTRAL_NERVOUS_SYSTEM	0.922275766
SCC9_UPPER_AERODIGESTIVE_TRACT	0.792440638
HCC1395_BREAST	0.194688406
NMCG1_CENTRAL_NERVOUS_SYSTEM	-0.661295649
TEN_ENDOMETRIUM	-0.635303133
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
TE9_OESOPHAGUS	1.084114833
KNS42_CENTRAL_NERVOUS_SYSTEM	-1.488970955
KYSE520_OESOPHAGUS	-0.006894022
KYSE270_OESOPHAGUS	0.738246946
JHUEM1_ENDOMETRIUM	0.050982303
YH13_CENTRAL_NERVOUS_SYSTEM	-0.372119406
IALM_LUNG	0.314998175
NCIH2052_PLEURA	-0.436882122
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SKNFI_AUTONOMIC_GANGLIA	-1.082572759
SKNAS_AUTONOMIC_GANGLIA	0.4080189
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.989114618
SNU398_LIVER	0.953182197
SNU423_LIVER	-0.219270557
SCC4_UPPER_AERODIGESTIVE_TRACT	0.326511915
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.058167103
HCC1187_BREAST	0.031161871
SNU387_LIVER	-1.077858361
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.029109441
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.081023045
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.030730864
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.644211093
C2BBE1_LARGE_INTESTINE	-0.327326552
SKES1_BONE	-0.016169332
EPLC272H_LUNG	
BXPC3_PANCREAS	-0.063759084
NCIH1355_LUNG	-0.261263081
SNU5_STOMACH	0.984816742
SNU475_LIVER	-1.198596854
HEC251_ENDOMETRIUM	0.552413406
HCC95_LUNG	0.793962678
253J_URINARY_TRACT	0
HCC1438_LUNG	0.014313396
253JBV_URINARY_TRACT	0.959445699
RPMI7951_SKIN	-0.478558257
SNU1066_UPPER_AERODIGESTIVE_TRACT	0.117385706
SNU1041_UPPER_AERODIGESTIVE_TRACT	-0.477047246
HCC2108_LUNG	0.304586343
COLO783_SKIN	-0.204282887
HCC1359_LUNG	0.126925852
BICR31_UPPER_AERODIGESTIVE_TRACT	-0.172837456
COV362_OVARY	-0.097463444
COLO792_SKIN	0.61608426
COV434_OVARY	-0.220105952
WM983B_SKIN	-0.512934657
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
LS513_LARGE_INTESTINE	0.019858585
NCIH2110_LUNG	0.256506953
CHAGOK1_LUNG	-0.03976412
DMS454_LUNG	-0.080909849
CORL47_LUNG	
FTC238_THYROID	0.050670036
DMS273_LUNG	2.305791658
FTC133_THYROID	-0.544211492
CORL311_LUNG	0.144027039
NCIH2286_LUNG	-0.280244377
NCIH1339_LUNG	-0.913712915
WM793_SKIN	-0.112321152
A704_KIDNEY	-0.180845644
MDAMB435S_SKIN	-0.441524938
WM1799_SKIN	-0.438605773
MEWO_SKIN	-0.019146626
WM88_SKIN	0.353545271
NCIH2081_LUNG	-0.484535012
HS255T_LARGE_INTESTINE	
NCIH1092_LUNG	-0.569478025
SW837_LARGE_INTESTINE	0.444491554
JHH6_LIVER	-0.04896917
IGR1_SKIN	0.254929262
NCIH1105_LUNG	-0.469117419
NCIH1436_LUNG	-0.454079588
NCIH1876_LUNG	-1.334311463
CORL24_LUNG	-0.856039392
COV644_OVARY	-0.644477896
GP2D_LARGE_INTESTINE	0.495313875
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	0.190019119
CORL88_LUNG	-0.943315472
CORL95_LUNG	-0.926635487
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	-0.185953371
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	0.338602876
CORL51_LUNG	
RT11284_URINARY_TRACT	
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	-0.143621621
OV7_OVARY	0.014909005
HT55_LARGE_INTESTINE	0.0020394
OAW42_OVARY	-0.242605325
MDST8_LARGE_INTESTINE	-0.438792105
OAW28_OVARY	-0.456283295
SUIT2_PANCREAS	-0.170084071
LC1SQSF_LUNG	
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.149978217
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SKHEP1_LIVER	-0.018679455
OVCAR8_OVARY	-0.15766071
NCIH2172_LUNG	-0.142190848
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	0.417527158
NCIH596_LUNG	-0.840661802
NCIH650_LUNG	0.535285821
SW1573_LUNG	-0.598576418
OVMANA_OVARY	-0.270159556
SKCO1_LARGE_INTESTINE	0.465341718
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.290643705
YAPC_PANCREAS	0.231776213
HT1197_URINARY_TRACT	0.69345622
A253_SALIVARY_GLAND	-0.381732268
HCC366_LUNG	-0.073848453
DKMG_CENTRAL_NERVOUS_SYSTEM	0.250481751
SNU349_KIDNEY	-0.374127491
UMUC1_URINARY_TRACT	0.207332777
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.709119613
NCIH292_LUNG	-0.69276838
59M_OVARY	-0.236563635
U118MG_CENTRAL_NERVOUS_SYSTEM	0.053901614
VMRCLCD_LUNG	
HCC1833_LUNG	0.172875053
RH30_SOFT_TISSUE	0.275714147
TCCSUP_URINARY_TRACT	-0.321065066
SNU601_STOMACH	0.5417553
CAL33_UPPER_AERODIGESTIVE_TRACT	-0.224267404
SNU668_STOMACH	0.345568753
CORL279_LUNG	0.626589105
GB1_CENTRAL_NERVOUS_SYSTEM	-0.143849692
KURAMOCHI_OVARY	-0.602157373
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
COLO684_ENDOMETRIUM	0.05797526
KLM1_PANCREAS	
GRM_SKIN	
SNU685_ENDOMETRIUM	0.47990455
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNU886_LIVER	-0.418652982
HCT8_LARGE_INTESTINE	
NCCSTCK140_STOMACH	-0.650688949
NCIH3255_LUNG	-0.96289708
SNU719_STOMACH	0.329702332
SNU489_CENTRAL_NERVOUS_SYSTEM	-0.754426315
SNU81_LARGE_INTESTINE	0.2920161
A2058_SKIN	-0.504215172
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNU1040_LARGE_INTESTINE	0.105976617
SNU1076_UPPER_AERODIGESTIVE_TRACT	-0.350506466
SNU175_LARGE_INTESTINE	0.284671174
SNU407_LARGE_INTESTINE	0.422066484
SNU201_CENTRAL_NERVOUS_SYSTEM	-0.738028263
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.205958348
SNU216_STOMACH	-0.615306572
SNU1196_BILIARY_TRACT	0.381198525
SNU1079_BILIARY_TRACT	0.178082187
HCC1195_LUNG	0.094742924
NCIH854_LUNG	0.171171535
SNU466_CENTRAL_NERVOUS_SYSTEM	-0.600230381
YD38_UPPER_AERODIGESTIVE_TRACT	0.23387626
SNU1105_CENTRAL_NERVOUS_SYSTEM	-0.792996032
SNU283_LARGE_INTESTINE	0.154160262
SNU46_UPPER_AERODIGESTIVE_TRACT	0.180097109
SNU308_BILIARY_TRACT	0.213371261
YD8_UPPER_AERODIGESTIVE_TRACT	-0.611533389
SNU245_BILIARY_TRACT	0.611377084
SNU478_BILIARY_TRACT	2.096296534
SNU410_PANCREAS	0.004853591
SNU899_UPPER_AERODIGESTIVE_TRACT	0.172890134
SNU503_LARGE_INTESTINE	0.349593428
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.379139318
SNU738_CENTRAL_NERVOUS_SYSTEM	0.065507687
SNU626_CENTRAL_NERVOUS_SYSTEM	-1.102237451
SNU869_BILIARY_TRACT	-0.569883944
SNU878_LIVER	-0.298226659
SNU840_OVARY	-0.292917433
SNU8_OVARY	-0.194933964
NCIH684_LIVER	0.164829522
IGR39_SKIN	-1.037292003
ALEXANDERCELLS_LIVER	
DAOY_CENTRAL_NERVOUS_SYSTEM	0.353644148
HEP3B217_LIVER	-0.049449867
KYM1_SOFT_TISSUE	
LC1F_LUNG	0.261401046
HLE_LIVER	
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.470623556
JMSU1_URINARY_TRACT	0.217700738
IMR32_AUTONOMIC_GANGLIA	-0.561209005
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.901040252
T3M4_PANCREAS	-0.236301621
COLO818_SKIN	
PK45H_PANCREAS	-0.473941334
HEC59_ENDOMETRIUM	0.090918656
CPCN_LUNG	
T3M10_LUNG	-0.313352904
NUGC2_STOMACH	0.340684305
PLCPRF5_LIVER	-0.239942446
KPNYN_AUTONOMIC_GANGLIA	-0.651882439
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	-0.166948059
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.362358118
KMRC3_KIDNEY	-0.49033522
NCIH2023_LUNG	-0.109905306
DMS153_LUNG	-1.039396798
NCIH1048_LUNG	
D341MED_CENTRAL_NERVOUS_SYSTEM	1.443322165
NCIH660_PROSTATE	1.206680141
NCIH1618_LUNG	-1.54432092
HS675T_LARGE_INTESTINE	-1.064968176
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.372583511
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.288571907
HT144_SKIN	-0.658678392
SKMEL31_SKIN	-0.725074162
HS839T_SKIN	-0.154065843
HS939T_SKIN	-0.212727062
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.788930433
HS819T_BONE	-0.44817835
NCIH69_LUNG	-0.587380671
DV90_LUNG	0.29824043
ZR751_BREAST	-0.594054567
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.491092095
SKNBE2_AUTONOMIC_GANGLIA	-0.54493421
HCC70_BREAST	-0.591833185
NCIH2452_PLEURA	-1.012857464
SNU1_STOMACH	-0.068938847
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.261743923
HCC56_LARGE_INTESTINE	0.01130685
NCIH1648_LUNG	0.757701527
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.584868707
GLC82_LUNG	
MPP89_PLEURA	-0.45271504
PANC0813_PANCREAS	-0.631931062
MG63_BONE	0.350826932
PK1_PANCREAS	-0.421032043
HS840T_UPPER_AERODIGESTIVE_TRACT	
NCIH23_LUNG	0.923827781
TE617T_SOFT_TISSUE	-0.34791562
SW1088_CENTRAL_NERVOUS_SYSTEM	-0.890432109
ISTMES2_PLEURA	
NCIH1373_LUNG	0.553950017
NCIH1930_LUNG	-0.142507607
NCIH1623_LUNG	-0.012037066
HS229T_LUNG	-0.139028085
NCIH1838_LUNG	0.037538457
NCIH1836_LUNG	-1.315417387
HS688AT_SKIN	0.06124764
PANC0504_PANCREAS	-0.977657862
HS822T_BONE	
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.143139617
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.635673989
G292CLONEA141B1_BONE	0.106373274
RCM1_LARGE_INTESTINE	1.005388534
HS737T_BONE	
