Gene	MYC_RNA
DMS53_LUNG	5.787633787
SW1116_LARGE_INTESTINE	6.467194941
NCIH1694_LUNG	0.532112609
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.072168595
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.905029507
UMUC3_URINARY_TRACT	6.0819167
HOS_BONE	1.126357094
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.500642055
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.341529139
RVH421_SKIN	6.213419463
NCIH1184_LUNG	0.342108858
HCC2157_BREAST	7.494746839
TC71_BONE	7.179845325
NCIH2227_LUNG	-1.68128509
COLO205_LARGE_INTESTINE	
SNU449_LIVER	5.703833571
NCIH28_PLEURA	5.650502776
OV56_OVARY	6.480387026
JHOS4_OVARY	5.147556947
KYSE450_OESOPHAGUS	8.176261125
RMUGS_OVARY	4.686980583
KLE_ENDOMETRIUM	5.161821394
HS895T_SKIN	3.644535705
LN229_CENTRAL_NERVOUS_SYSTEM	3.764007987
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.848913913
RKN_SOFT_TISSUE	4.637557968
PATU8988S_PANCREAS	5.622777533
NH6_AUTONOMIC_GANGLIA	1.413751614
SF126_CENTRAL_NERVOUS_SYSTEM	3.932739923
RERFLCAD2_LUNG	5.538318847
OUMS23_LARGE_INTESTINE	4.246446327
SNGM_ENDOMETRIUM	6.428996866
OUMS27_BONE	
PL45_PANCREAS	
NCIH2347_LUNG	5.479658042
SW1990_PANCREAS	4.537347337
HS940T_SKIN	3.653475769
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.292193266
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.045726338
RERFGC1B_STOMACH	4.163422266
HT1080_SOFT_TISSUE	4.172570954
NCIH2087_LUNG	6.932413741
COV318_OVARY	4.079397377
NCIH2085_LUNG	5.274371328
NCIH510_LUNG	2.731733659
CAKI1_KIDNEY	5.663542361
NCIH716_LARGE_INTESTINE	5.827112008
NCIH2066_LUNG	5.633139361
NCIH1341_LUNG	7.547794743
NCIH2029_LUNG	-1.349043267
C3A_LIVER	
SW480_LARGE_INTESTINE	5.353003695
HS746T_STOMACH	5.466249511
LU65_LUNG	6.116481828
HS739T_BREAST	3.878593833
SNUC2A_LARGE_INTESTINE	4.057527087
HEC151_ENDOMETRIUM	6.040428529
MSTO211H_PLEURA	8.088070682
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.280497943
SKMEL1_SKIN	5.465042338
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.969341197
JHH7_LIVER	5.159749101
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.906055481
5637_URINARY_TRACT	5.894893607
HCC38_BREAST	4.215018945
DU4475_BREAST	3.869095264
NCIH1573_LUNG	4.550179481
NCIH508_LARGE_INTESTINE	6.311063803
NCIH1651_LUNG	4.259441
SKUT1_SOFT_TISSUE	6.243818415
MDAMB175VII_BREAST	2.528139415
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.861440503
BECKER_CENTRAL_NERVOUS_SYSTEM	
NCIH226_LUNG	5.338989442
NCIH1666_LUNG	7.075447159
SW1783_CENTRAL_NERVOUS_SYSTEM	3.699960204
ISTMES1_PLEURA	6.674433133
NCIH1734_LUNG	4.506208898
NCIH2342_LUNG	4.578251632
EBC1_LUNG	5.290535973
YMB1_BREAST	
OC316_OVARY	
HS936T_SKIN	4.91697054
T173_BONE	3.619989432
NCIH322_LUNG	4.370288576
HS618T_LUNG	4.06310801
HS870T_BONE	3.724366775
HS706T_BONE	3.318287241
PANC1_PANCREAS	4.545433394
NCIH2291_LUNG	6.072888053
T47D_BREAST	4.361259244
HS742T_BREAST	3.432615554
BICR56_UPPER_AERODIGESTIVE_TRACT	6.758354478
BICR16_UPPER_AERODIGESTIVE_TRACT	6.126641147
TE10_OESOPHAGUS	5.079567791
SKMEL28_SKIN	5.476062363
BICR6_UPPER_AERODIGESTIVE_TRACT	6.032856582
BHY_UPPER_AERODIGESTIVE_TRACT	5.972845989
AZ521_STOMACH	
SH4_SKIN	5.583494513
KPL1_BREAST	4.800283086
CGTHW1_THYROID	
TUHR4TKB_KIDNEY	5.011608436
LS123_LARGE_INTESTINE	5.658068495
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.878629191
HPAC_PANCREAS	5.65121892
RCC10RGB_KIDNEY	4.94098508
